ntacode,nta_name,borough_name,ntatype,ntatype_label,is_residential,count_night,population,area_km2,rate_per_1k_pop,rate_per_km2,share_noise___residential,share_noise___street/sidewalk,share_noise___commercial,share_noise___vehicle,share_noise___park,share_noise,share_noise___helicopter,share_noise___house_of_worship,count_evening,share_evening,count_early_am,share_early_am,count_core_night,share_core_night,count_predawn,share_predawn,count_late_night,late_night_share,count_weekend,count_weekday,weekend_uplift,count_warm,count_cool,warm_season_ratio,year_start,year_end
BK5693,Shirley Chisholm State Park,Brooklyn,9,Park/Recreation,False,7,0,1.698708198409249,,4.120778369442811,0.0,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,5.0,0.7142857142857143,1.0,0.14285714285714285,0.0,0.0,5,0.7142857142857143,1,6,0.4166666666666667,2,5,1.2,2021,2023
BX0101,Mott Haven-Port Morris,Bronx,0,Residential/Mixed,True,4030,57846,3.8066749382721548,69.66773847802786,1058.6667013467697,0.605210918114144,0.19305210918114143,0.05037220843672457,0.08337468982630274,0.0034739454094292804,0.06352357320099256,0.0009925558312655087,0.0,1392.0,0.34540942928039703,873.0,0.21662531017369727,796.0,0.19751861042183622,969.0,0.2404466501240695,1224,0.3037220843672457,1618,2412,1.6770315091210615,1182,2848,1.2450842696629214,2021,2023
BX0102,Melrose,Bronx,0,Residential/Mixed,True,1754,42760,1.6045979634204144,41.01964452759589,1093.1087038532164,0.6607753705815279,0.169327251995439,0.04161915621436716,0.0701254275940707,0.0011402508551881414,0.056442417331812995,0.0,0.0005701254275940707,683.0,0.38939566704675027,354.0,0.20182440136830102,254.0,0.14481185860889395,463.0,0.26396807297605474,399,0.2274800456100342,683,1071,1.5943043884220356,549,1205,1.366804979253112,2021,2023
BX0201,Hunts Point,Bronx,0,Residential/Mixed,True,758,14519,4.1831590881858745,52.20745230387767,181.2027666221809,0.5646437994722955,0.22955145118733508,0.0316622691292876,0.09366754617414248,0.009234828496042216,0.06992084432717678,0.0013192612137203166,0.0,346.0,0.45646437994722955,132.0,0.1741424802110818,97.0,0.1279683377308707,183.0,0.24142480211081793,143,0.18865435356200527,344,414,2.077294685990338,242,516,1.4069767441860466,2021,2023
BX0202,Longwood,Bronx,0,Residential/Mixed,True,1565,41452,1.4303949063800638,37.754511241918365,1094.1034486487265,0.552076677316294,0.2715654952076677,0.04472843450479233,0.07476038338658147,0.0012779552715654952,0.054952076677316296,0.0,0.0006389776357827476,779.0,0.49776357827476037,334.0,0.2134185303514377,176.0,0.11246006389776358,276.0,0.17635782747603834,324,0.20702875399361023,726,839,2.163289630512515,435,1130,1.154867256637168,2021,2023
BX0291,North & South Brother Islands,Bronx,9,Park/Recreation,False,0,0,0.08646006083638011,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,,0,0,,2021,2023
BX0301,Morrisania,Bronx,0,Residential/Mixed,True,2218,35453,1.2831090926601287,62.56170140749725,1728.6137341616566,0.6041478809738503,0.2569882777276826,0.04012623985572588,0.046438232642019836,0.009918845807033363,0.04192966636609558,0.0004508566275924256,0.0,862.0,0.3886384129846709,447.0,0.20153291253381425,346.0,0.15599639314697927,563.0,0.2538322813345356,531,0.239404869251578,938,1280,1.83203125,637,1581,1.2087286527514232,2021,2023
BX0302,Claremont Village-Claremont (East),Bronx,0,Residential/Mixed,True,3856,23929,0.9288752531126652,161.143382506582,4151.257111305879,0.64548755186722,0.2782676348547718,0.013485477178423237,0.042012448132780086,0.0012966804979253112,0.019190871369294607,0.0,0.00025933609958506224,1370.0,0.3552904564315353,828.0,0.21473029045643152,724.0,0.18775933609958506,934.0,0.24221991701244813,1104,0.2863070539419087,1562,2294,1.7022667829119442,1425,2431,1.758535582064994,2021,2023
BX0303,Crotona Park East,Bronx,0,Residential/Mixed,True,1901,29474,1.484473996878076,64.49752324082242,1280.5882784056166,0.3945291951604419,0.407154129405576,0.021567596002104155,0.10731194108364019,0.01893740136770121,0.04681746449237244,0.0005260389268805891,0.003156233561283535,791.0,0.41609679116254605,381.0,0.20042083114150447,233.0,0.12256706996317727,496.0,0.2609153077327722,373,0.19621251972645976,791,1110,1.7815315315315314,619,1282,1.4485179407176287,2021,2023
BX0391,Crotona Park,Bronx,9,Park/Recreation,False,18,0,0.5889805186312376,,30.56128247133052,0.05555555555555555,0.6111111111111112,0.0,0.1111111111111111,0.16666666666666666,0.05555555555555555,0.0,0.0,13.0,0.7222222222222222,1.0,0.05555555555555555,1.0,0.05555555555555555,3.0,0.16666666666666666,2,0.1111111111111111,12,6,5.0,9,9,3.0,2021,2023
